label,min_hz,max_hz,mean_abs_hz,gt_pos_0.036,lt_neg_0.036,abs_gt_0.036
h8d0,-0.1671627379510498,0.0008023192948014,0.09024395570011724,0,809,809
h5d1,-0.0262209882828301,0.1184781965519565,0.030731395086719945,319,0,319
h12d0,-0.0289679963942846,0.0338986067586466,0.0077966765951972584,0,0,0
