label,old_peak60_hz,first_peak60_hz,peak_reduction_pct,old_settle20mHz_s,first_settle20mHz_s,settle_improve_s,old_abs_mean_hz,first_abs_mean_hz,old_final_hz,first_final_hz
h7d2,0.3012642933709886,0.0205041024565688,93.19398185986839,152,0,152,0.012780293664255574,0.009158289193201405,0.0030469567951252,0.0030265093256209
h8d2,0.2934231472092596,0.0292613359786941,90.02759793935891,143,143,0,0.013756220888623792,0.008358228106245478,0.0022606994376772,0.0022540990573682
h7d3,0.3392079473406628,0.0238619297481257,92.96539779353654,67,31,36,0.016931520142565555,0.010676285630713243,-0.022625840505317,-0.0225830963539119
h9d0,0.2568740888512777,0.0297973731753709,88.4000082263561,73,78,-5,0.012363933379640571,0.007462065207897053,0.0025546523440933,0.0018674199154222
h15d0,0.2292879247435086,0.0199667647209356,91.29183765640023,67,0,67,0.008763450141032393,0.007662655207579482,0.0111279763342153,0.0111186674442098
