variant,boundary_step_0_to_1_hz,second_min_hz,second_max_hz,second_abs_mean_hz,frac_abs_gt_0p036,freq_end_hz
no target,0.005334970803674302,-0.0138686266249865,0.0664596857117016,0.026772165811595403,0.3303670745272525,-0.0060713911855692
hard step,-0.5913625599393856,-4.744452025394105,1.0129015980317346,0.7563255007795873,1.0,0.3973926715349973
ramp 300 s,0.004842903564572502,-0.2848485488962904,0.0504669935876611,0.09344356961250354,0.5205784204671857,-0.0113901134964122
ramp 600 s,0.005088937131478906,-0.17886408038567,0.0560807125195417,0.0933823330651913,0.760845383759733,-0.0188046869755709
