label,samples,min_hz,max_hz,abs_gt_0.05,abs_gt_0.05_frac,gt_pos_0.05,gt_pos_0.05_frac,lt_neg_0.05,lt_neg_0.05_frac
h8d0,900,-0.0561244065401966,0.0060092245754361,3,0.0033333333333333335,0,0.0,3,0.0033333333333333335
h5d1,900,-0.0226331735166018,0.0710286542125615,13,0.014444444444444444,13,0.014444444444444444,0,0.0
h12d0,900,-0.028227122317983,0.0331746206488636,0,0.0,0,0.0,0,0.0
