kp,ki,init_mode,success,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,error,score
0.03,0.075,first,1,900,899.0,-0.025555803835466406,554.0,0.030284500519499602,481.0,-0.005496394557484852,0.00737879442231347,0.009222866348375654,,0.014738424875243723
0.04,0.075,first,1,900,899.0,-0.02543014317616832,554.0,0.03073343653183791,481.0,-0.005450359172454178,0.007394754790403442,0.009240619976352801,,0.01474024436480693
0.02,0.075,first,1,900,899.0,-0.025675793381145784,554.0,0.029835539365925534,481.0,-0.005543648820554026,0.007366889734840122,0.009209434557055043,,0.014743431423644655
0.05,0.075,first,1,900,899.0,-0.025299960833076174,554.0,0.03118293991871024,481.0,-0.005406082393424327,0.007416889414984617,0.00926291094377194,,0.01475138608358275
0.03,0.06875,first,1,900,899.0,-0.025010876691904382,554.0,0.030226564305819714,481.0,-0.0056217074120445965,0.007349009111175286,0.009184711572046507,,0.014752218603220839
0.02,0.06875,first,1,900,899.0,-0.02511848679099593,554.0,0.029778813920664504,481.0,-0.00566276218599171,0.007336015249178411,0.009170619862444331,,0.014752706273396431
0.04,0.06875,first,1,900,899.0,-0.024897636062091166,554.0,0.030673771104372527,481.0,-0.005581455824408277,0.007365113609991977,0.009202983281052445,,0.014757333162722337
0.02,0.0625,first,1,900,899.0,-0.02510420137940894,257.0,0.029783599313679687,481.0,-0.0057567861766316675,0.007313660844753882,0.00914533112383785,,0.01476471949498864
