variant,time_s,freq_dev_hz,pvd1_fdev_mean_hz,pvd1_db_sum,pvd1_pref_sum,pvd1_pext_sum,pvd1_psum_sum,pvd1_pe_sum,esd1_fdev_mean_hz,esd1_db_sum,esd1_pref_sum,esd1_pext_sum,esd1_psum_sum,esd1_pe_sum,dg_db_sum,dg_pe_sum,dg_psum_sum
asym_on,0.0,0.0,0.0,0.0,5.503679107488532,0.0,5.503679107488532,5.503679107488532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.503679107488532,5.503679107488532
asym_on,1.0,0.00106217420401844,-0.0010225848931073851,-0.030398608364295872,5.5083247927109245,0.0,5.477926184346627,5.47811736335912,-0.0010324492795351868,-0.00037759473475405955,0.0,0.0,-0.00037759473475405955,-0.0003745164978040671,-0.03077620309904993,5.477742846861315,5.477548589611873
asym_on,2.0,0.0008735690262362539,-0.0008925727775411532,-0.026392408630936438,5.52842563825586,0.0,5.502033229624924,5.502060624189325,-0.000886702435410155,-0.00032583254372662456,0.0,0.0,-0.00032583254372662456,-0.00032551990773307395,-0.026718241174663062,5.501735104281592,5.501707397081198
asym_on,3.0,0.0006575640236983205,-0.0006502599048395513,-0.01918851435048525,5.497617167900684,0.0,5.4784286535502,5.478398785274151,-0.0006499667320652403,-0.00023825143178828441,0.0,0.0,-0.00023825143178828441,-0.00023846493552134876,-0.019426765782273533,5.478160320338629,5.478190402118411
asym_on,4.0,0.0006241185000943617,-0.0006241500907710076,-0.01843522077650476,5.5038561973531115,-0.000491279941387654,5.484929696635218,5.484927541615095,-0.0006237925927955148,-0.00022952992724110293,0.0,-6.100256135070996e-06,-0.00023563018337617394,-0.00023561766130629036,-0.01866475070374586,5.484691923953789,5.4846940664518415
asym_on,5.0,-0.0009074008772902431,0.0009002956033169244,-4.5163587347312614e-06,5.506372555419373,-0.000491279941387654,5.505876759119251,5.5059079536066955,0.0009004859961704383,-5.792354976190226e-08,0.0,-6.100256135070996e-06,-6.158179684832899e-06,-6.098109144960242e-06,-4.574282284493164e-06,5.505901855497551,5.505870600939566
asym_on,6.0,0.0006627622144828038,-0.0006193349057363447,-0.018529717619868234,5.508303376480536,-0.000491279941387654,5.489282378919281,5.489539429419754,-0.0006372727688819216,-0.00023259941836296957,0.0,-6.100256135070996e-06,-0.00023869967449804058,-0.00023492338001962728,-0.018762317038231204,5.489304506039734,5.489043679244783
asym_on,7.0,-0.0004463002486443379,0.00043545440954638346,9.439690712250468e-12,5.518003785652122,-0.000491279941387654,5.517512505720175,5.517458792947683,0.00044810397327459974,9.170467154993869e-14,0.0,-6.100256135070996e-06,-6.100256043366325e-06,-6.871485664076297e-06,9.531395383800407e-12,5.517451921462019,5.517506405464132
asym_on,8.0,0.0008657155425462193,-0.0008148755197217632,-0.024179005037415664,5.516430742168658,-0.0005220028539411878,5.491729734277301,5.491995015895124,-0.0008341066673201572,-0.0003057992859513808,0.0,-6.4817446103842175e-06,-0.000312281030561765,-0.0003083817729820602,-0.024484804323367044,5.491686634122142,5.491417453246739
asym_on,9.0,-0.002612299824455988,0.0025996379695665396,-7.62941103032786e-12,5.510245404293798,-0.0005220028539411878,5.509723401432227,5.509823846064531,0.002611349995057991,-6.554063261983886e-14,0.0,-6.4817446103842175e-06,-6.4817446759248495e-06,-5.774771309543837e-06,-7.694951662947698e-12,5.509818071293222,5.509716919687551
asym_on,10.0,-0.016703444061378914,0.01669443676459425,-1.2579293555225492e-11,5.4977362564582855,-0.0005220028539411878,5.497214253591764,5.497341945549848,0.01669990671457608,-1.0287211727154931e-13,0.0,-6.4817446103842175e-06,-6.481744713256335e-06,-5.4217756097289975e-06,-1.2682165672497041e-11,5.497336523774238,5.497207771847051
asym_on,11.0,0.0019114093220862216,-0.0013522742584706692,-0.03680134421561435,5.501930408574172,-0.0005220028539411878,5.464607061504617,5.467957382796039,-0.001414420944384849,-0.0005484722470700745,0.0,-6.4817446103842175e-06,-0.0005549539916804587,-0.0005080988540371292,-0.037349816462684426,5.467449283942002,5.464052107512937
asym_on,12.0,-0.004957489081021116,0.0049350349460858195,-1.3102520368299627e-11,5.515646175458425,0.0028725771029750008,5.518518752548299,5.518628698955433,0.004948019777599196,-1.0750092336470051e-13,0.0,3.566898344433016e-05,3.5668983336829245e-05,3.634790190152522e-05,-1.3210021291664328e-11,5.518665046857334,5.518554421531635
asym_on,13.0,0.00028265885634759513,-0.0004624202970531937,-0.014312888391389523,5.504118520717602,0.0028725771029750008,5.492678209429188,5.491348195942708,-0.00046130409186205133,-0.00016295285717827924,0.0,3.566898344433016e-05,-0.00012728387373394908,-0.00014618994126179265,-0.014475841248567801,5.491202006001446,5.492550925555454
asym_on,14.0,0.000980985975784776,-0.000987477571819468,-0.029576209913425872,5.513753045881246,0.0028725771029750008,5.487049413070794,5.486940280576689,-0.000997235102995416,-0.00036374402113623235,0.0,3.566898344433016e-05,-0.0003280750376919022,-0.00032904878609445567,-0.029939953934562103,5.486611231790595,5.486721338033102
asym_on,15.0,0.000688393832817269,-0.0007073345531433988,-0.020998376502120095,5.510105598284803,0.0028725771029750008,5.49197979888566,5.491967326021899,-0.0007008544867130917,-0.0002563384017417493,0.0,3.566898344433016e-05,-0.0002206694182974191,-0.00022043641444813612,-0.021254714903861844,5.491746889607451,5.491759129467362
asym_on,16.0,0.001033178249660871,-0.0010223206493945984,-0.03026156676041297,5.518142419453705,0.003423537153308121,5.4913043898466025,5.491350816999262,-0.0010276678021235788,-0.0003771363279055199,0.0,4.2510291513473535e-05,-0.00033462603639204636,-0.00033413822794420343,-0.030638703088318488,5.4910166787713175,5.49096976381021
asym_on,17.0,-0.0027572022122579476,0.0027510200897949287,6.647623932711729e-05,5.508114714110746,0.003423537153308121,5.511604727503381,5.511634911723482,0.002756920005541179,5.610331988413084e-07,0.0,4.2510291513473535e-05,4.307132471231484e-05,4.311467483352899e-05,6.70372725259586e-05,5.511678026398316,5.511647798828093
asym_on,18.0,-0.006298803478039794,0.0062968969550311555,0.00010359867873682231,5.500038737711982,0.003423537153308121,5.503565873544029,5.503565786618573,0.006294694348606179,8.800427207789834e-07,0.0,4.2510291513473535e-05,4.3390334234252515e-05,4.343276896912861e-05,0.0001044787214576013,5.503609219387542,5.503609263878263
asym_on,19.0,-0.005457780241713284,0.005454619920317718,-8.253613402532157e-05,5.502775661583373,0.003423537153308121,5.506116662602653,5.506116028547943,0.0054520048699570264,-6.985917200469375e-07,0.0,4.2510291513473535e-05,4.181169979342659e-05,4.181082292209417e-05,-8.323472574536852e-05,5.506157839370865,5.506158474302446
asym_on,20.0,0.001190729471822749,-0.0012008144546464294,-0.03699912720783079,5.516621967932308,0.005868444330310576,5.4854912850547874,5.486005132697041,-0.0012751377216828536,-0.0004577075899703647,0.0,7.286886867023905e-05,-0.0003848387213001256,-0.00037272820937303065,-0.03745683479780115,5.485632404487668,5.4851064463334875
asym_on,21.0,0.00033412116845266127,-0.0004369643412194378,-0.01327100982305164,5.508143810549263,0.005868444330310576,5.500741245056522,5.5006065888669315,-0.0004154525343035702,-0.00014848507501900537,0.0,7.286886867023905e-05,-7.561620634876632e-05,-7.751637498748079e-05,-0.013419494898070644,5.500529072491944,5.500665628850173
asym_on,22.0,0.0012579617143826383,-0.0012011439499026316,-0.035485451152529705,5.503901076063943,0.005868444330310576,5.474284069241723,5.474497533624978,-0.0012156266008995615,-0.00044647567666074084,0.0,7.286886867023905e-05,-0.0003736068079905018,-0.00037043063917828066,-0.03593192682919045,5.4741271029858005,5.473910462433733
asym_on,23.0,0.0002004308847824987,-0.00021782862757950417,-0.006136349306294252,5.510288419547269,0.005868444330310576,5.510020514571282,5.509937792959014,-0.00020331806357816099,-7.744379693178841e-05,0.0,7.286886867023905e-05,-4.574928261549351e-06,-6.679976780364573e-06,-0.006213793103226041,5.509931112982233,5.510015939643021
asym_on,24.0,0.0009655738511282763,-0.0009324051023061354,-0.027628957484632108,5.513590952979714,0.005498936141703057,5.491460931636785,5.491545990327506,-0.0009442579380736893,-0.00034634202063104096,0.0,6.828066059452335e-05,-0.00027806136003651765,-0.00027705284186733893,-0.02797529950526315,5.491268937485638,5.491182870276748
asym_on,25.0,0.00015899260614737898,-0.000191277909615316,-0.00561117780388696,5.505336831624324,0.005498936141703057,5.505224589962139,5.505130869114295,-0.00018071380721990473,-6.656690842589877e-05,0.0,6.828066059452335e-05,1.713752168624581e-06,6.615127035261406e-07,-0.005677744712312858,5.505131530626998,5.505226303714307
asym_on,26.0,0.0008484918795970131,-0.000820649984359905,-0.024318472134733368,5.511185079554341,0.005498936141703057,5.49236554356131,5.492443560203964,-0.0008313397142037809,-0.00030517073823269113,0.0,6.828066059452335e-05,-0.0002368900776381678,-0.00023577657660932971,-0.024623642872966058,5.492207783627355,5.492128653483672
asym_on,27.0,0.0010836672818559379,-0.00107467765508978,-0.031868381997599865,5.502051732272103,0.005498936141703057,5.475682286416208,5.475797030752102,-0.0010755544040039827,-0.00039402301851668424,0.0,6.828066059452335e-05,-0.0003257423579221609,-0.00032326570176536944,-0.03226240501611655,5.475473765050337,5.475356544058286
asym_on,28.0,-0.0008966615851080384,0.0008887841297786661,-3.9156965833897556e-05,5.507330217206027,0.004924183134813722,5.512215243375006,5.512210529234493,0.000895651507347541,-3.342052067268674e-07,0.0,6.114391378063178e-05,6.0809708573904914e-05,6.033656713550361e-05,-3.9491171040624425e-05,5.512270865801629,5.512276053083579
asym_on,29.0,-0.003436786637638356,0.0034393589072296933,9.336058439820745e-05,5.501522440928104,0.004924183134813722,5.506539984647314,5.506544378821559,0.0034377976507840935,7.940793405019553e-07,0.0,6.114391378063178e-05,6.193799312113374e-05,6.196458097252241e-05,9.415466373870941e-05,5.506606343402532,5.506601922640435
asym_on,30.0,0.0006853292967790026,-0.0007418001210448402,-0.022964306852868138,5.527066940566299,0.004924183134813722,5.509026816848245,5.509227445416672,-0.0007968476379948416,-0.0002856425349851424,0.0,6.114391378063178e-05,-0.00022449862120451063,-0.0002178139975362096,-0.02324994938785328,5.5090096314191355,5.5088023182270405
asym_on,31.0,0.0014518221902282136,-0.001470057807280213,-0.043911927625644116,5.513335692139348,0.004924183134813722,5.474347947648517,5.474445165617574,-0.001470563260948203,-0.000535780241822094,0.0,6.114391378063178e-05,-0.00047463632804146217,-0.00047243790821877485,-0.04444770786746621,5.473972727709356,5.473873311320475
asym_on,32.0,0.0002192495086283941,-0.0001723261919580037,-0.004552190889947142,5.509477239140319,0.005377175036427505,5.510302223286801,5.510875590253771,-0.0001680532247885322,-6.587113760135915e-05,0.0,6.676874474594994e-05,8.976071445907872e-07,9.247006495618042e-06,-0.004618062027548502,5.510884837260266,5.510303120893945
asym_on,33.0,0.0007869723347520008,-0.0007576427741371051,-0.02237180996012679,5.507736757017897,0.005377175036427505,5.490742122094198,5.490809556321318,-0.0007669313672800052,-0.00028177634857524047,0.0,6.676874474594994e-05,-0.00021500760382929057,-0.0002144455472162057,-0.02265358630870203,5.490595110774102,5.4905271144903685
asym_on,34.0,-0.00018320375939628875,0.0001747586655757722,4.631368594351632e-12,5.503635877747442,0.005377175036427505,5.509013052788499,5.508983073864218,0.00018352783025492179,3.9773866091575154e-14,0.0,6.676874474594994e-05,6.67687447857238e-05,6.638075297829629e-05,4.671142460443207e-12,5.5090494546171955,5.509079821533285
asym_on,35.0,0.0007684142633257451,-0.0007332749587188564,-0.021744315966708793,5.510865253426725,0.005377175036427505,5.494498112496443,5.494656233624186,-0.0007446464410800924,-0.0002730483785324286,0.0,6.676874474594994e-05,-0.00020627963378647872,-0.00020428102867909112,-0.022017364345241222,5.494451952595506,5.494291832862657
asym_on,36.0,0.0006242851230497948,-0.0006323407031543621,-0.018695741390824607,5.509425755717376,0.0050323097512380635,5.49576232407779,5.495840486568,-0.0006307111743627249,-0.0002319357799417434,0.0,6.248652926243624e-05,-0.00016944925067930718,-0.0001676459027603803,-0.01892767717076635,5.49567284066524,5.4955928748271115
asym_on,37.0,-0.0012024336659899326,0.0011978612823079075,-7.24080098519725e-12,5.4997951348573455,0.0050323097512380635,5.504827444601341,5.5049219140440915,0.0011990890151598469,-6.262698780321742e-14,0.0,6.248652926243624e-05,6.248652919980926e-05,6.320571394994637e-05,-7.303427973000468e-12,5.504985119758041,5.504889931130541
