variant,time_s,freq_dev_hz,pvd1_fdev_mean_hz,pvd1_db_sum,pvd1_pref_sum,pvd1_pext_sum,pvd1_psum_sum,pvd1_pe_sum,esd1_fdev_mean_hz,esd1_db_sum,esd1_pref_sum,esd1_pext_sum,esd1_psum_sum,esd1_pe_sum,dg_db_sum,dg_pe_sum,dg_psum_sum
sym_on,0.0,0.0,0.0,0.0,5.503679107488532,0.0,5.503679107488532,5.503679107488532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.503679107488532,5.503679107488532
sym_on,1.0,0.015522994126357936,-0.015499863812294328,0.0,5.5083247927109245,0.0,5.5083247927109245,5.50832335204379,-0.01550444140806299,0.0,0.0,0.0,0.0,0.0,0.0,5.50832335204379,5.5083247927109245
sym_on,2.0,0.016300184204864898,-0.01630016833800199,0.0,5.52842563825586,0.0,5.52842563825586,5.528442195619094,-0.016299050848903762,0.0,0.0,0.0,0.0,-7.538111271107013e-11,0.0,5.528442195543713,5.52842563825586
sym_on,3.0,0.009641100453436913,-0.009644610863422927,0.0,5.497617167900684,0.0,5.497617167900684,5.497585612749144,-0.009642687637210962,0.0,0.0,0.0,0.0,-7.539449570077599e-11,0.0,5.497585612673749,5.497617167900684
sym_on,4.0,0.0014896983321843749,-0.0014928334649864227,0.0,5.5038561973531115,-0.007889891078661128,5.49596630627445,5.495963771633992,-0.001492615605204101,0.0,0.0,-9.796930915130991e-05,-9.796930915130991e-05,-9.796905988821122e-05,0.0,5.495865802574103,5.495868336965299
sym_on,5.0,-0.010563527102034342,0.010546697835507062,0.0,5.506372555419373,-0.007889891078661128,5.498482664340711,5.498491555315173,0.01054871670108238,0.0,0.0,-9.796930915130991e-05,-9.796930915130991e-05,-9.796968091987753e-05,0.0,5.498393585634253,5.49838469503156
sym_on,6.0,-0.0019048919739250714,0.0019168690709301132,0.0,5.508303376480536,-0.007889891078661128,5.500413485401874,5.500414745064227,0.001910943205744883,0.0,0.0,-9.796930915130991e-05,-9.796930915130991e-05,-9.796939614398568e-05,0.0,5.500316775668083,5.500315516092723
sym_on,7.0,-0.00595370021340802,0.0059435320230598505,0.0,5.518003785652122,-0.007889891078661128,5.510113894573463,5.510129807220887,0.005953303220373749,0.0,0.0,-9.796930915130991e-05,-9.796930915130991e-05,-9.796970889710928e-05,0.0,5.510031837511989,5.5100159252643115
sym_on,8.0,0.006337596064049933,-0.00632671528099377,0.0,5.516430742168658,-0.005133251061870686,5.511297491106787,5.511292033275188,-0.00633963680792843,0.0,0.0,-6.373992431807292e-05,-6.373992431807292e-05,-6.373973732116465e-05,0.0,5.511228293537867,5.511233751182469
sym_on,9.0,-0.0034199980370885896,0.0034012572417909444,0.0,5.510245404293798,-0.005133251061870686,5.505112153231926,5.505109259049054,0.0034117686045062783,0.0,0.0,-6.373992431807292e-05,-6.373992431807292e-05,-6.373997570071984e-05,0.0,5.505045519073353,5.505048413307608
