variant,note,ddn,fdbd_hz,fdbdu_hz,samples,freq_min_hz,freq_max_hz,freq_abs_mean_hz,db_abs_max,db_nonzero_samples,pvd1_db_abs_max,esd1_db_abs_max
current_off,"Current migrated case: ddn=0, asymmetric threshold.",0.0,0.0,0.017,900,-0.02503152493462002,0.031118930780773546,0.007366559126912872,0.0,0,0.0,0.0
asym_on,Activate current asymmetric thresholding.,1.0,0.0,0.017,900,-0.01677296168880016,0.00475440724857723,0.001778504767828896,0.14132700724575012,877,0.13959462401048323,0.0017323832352668866
sym_on,Activate symmetric deadband for comparison.,1.0,-0.017,0.017,900,-0.0183369093576502,0.020986948434136288,0.007052406664742939,0.08449137913599347,507,0.0833012382697742,0.0011901408662192696
