variant,time_s,freq_dev_hz,pvd1_fdev_mean_hz,pvd1_db_sum,pvd1_pref_sum,pvd1_pext_sum,pvd1_psum_sum,pvd1_pe_sum,esd1_fdev_mean_hz,esd1_db_sum,esd1_pref_sum,esd1_pext_sum,esd1_psum_sum,esd1_pe_sum,dg_db_sum,dg_pe_sum,dg_psum_sum
sym_on,160.0,0.004796604592876008,-0.004793948459738755,4.029036327513191e-12,5.534301991526745,-0.02312549673380962,5.511176494796963,5.511143101373051,-0.004794905891216892,2.9592955990802034e-14,0.0,-0.00028715085115936235,-0.0002871508511297694,-0.0002875024578983389,4.058629283503993e-12,5.510855598915152,5.510889343945833
sym_on,161.0,-0.00634616999532156,0.00633496198099892,-1.2497457411704678e-11,5.513365812456897,-0.02312549673380962,5.49024031571059,5.490350108881115,0.006342106640313587,-1.0227262612970983e-13,0.0,-0.00028715085115936235,-0.000287150851261635,-0.0002861002961220435,-1.2599730037834388e-11,5.490064008584993,5.489953164859329
sym_on,162.0,0.003120681949746462,-0.003106963055915654,1.2215159404995888e-11,5.52024532537153,-0.02312549673380962,5.497119828649934,5.496994072910947,-0.003118754758196927,9.92031838167126e-14,0.0,-0.00028715085115936235,-0.00028715085106015915,-0.0002881762164895976,1.23143625888126e-11,5.496705896694458,5.496832677798874
sym_on,163.0,-0.0031911751047930537,0.003188116987037863,-8.981577034598564e-12,5.5090613207376915,-0.02312549673380962,5.485935823994899,5.486023677674558,0.00320385666207883,-7.367555845932086e-14,0.0,-0.00028715085115936235,-0.0002871508512330379,-0.0002863952828087668,-9.055252593057885e-12,5.4857372823917485,5.485648673143666
sym_on,164.0,-0.006208349303449268,0.0062000111343476156,-8.410704703732145e-12,5.5147077087357514,-0.022897555628068944,5.491810153099271,5.491913305416449,0.006190983759155007,-8.080451480400981e-14,0.0,-0.0002843204910905146,-0.00028432049117131913,-0.00028343131601883556,-8.491509218536155e-12,5.49162987410043,5.4915258326081
sym_on,165.0,0.0036336114127433206,-0.0036281542659329065,1.019647766739685e-11,5.5209042094892755,-0.022897555628068944,5.498006653871404,5.4979036407417174,-0.0036335205911955503,8.107978071247232e-14,0.0,-0.0002843204910905146,-0.00028432049100943484,-0.0002851825834437395,1.0277557448109323e-11,5.497618458158274,5.497722333380395
sym_on,166.0,0.007160404310040391,-0.0071502657132324265,-2.510768163110118e-05,5.512086657420453,-0.022897555628068944,5.4891639941107515,5.489117417247881,-0.007141992597192953,-2.339256988029651e-07,0.0,-0.0002843204910905146,-0.0002845544167893176,-0.00028490689567509656,-2.5341607329904145e-05,5.488832510352206,5.488879439693962
sym_on,167.0,0.011348092424809941,-0.011346513552961462,1.1143252578483504e-11,5.5368015343563926,-0.022897555628068944,5.513903978739469,5.513806754032531,-0.01135415773915538,9.519204682772367e-14,0.0,-0.0002843204910905146,-0.0002843204909953226,-0.0002853161510301872,1.1238444625311228e-11,5.513521437881501,5.513619658248474
sym_on,168.0,0.009828897863459751,-0.009827688670486362,-3.858510792246093e-12,5.526104095319661,-0.02549703005637372,5.500607065259429,5.500632171805556,-0.009825677936655876,-3.4542297496228175e-14,0.0,-0.00031659834022157397,-0.00031659834025611627,-0.00031627579551929955,-3.893053089742321e-12,5.5003158960100365,5.500290466919173
sym_on,169.0,0.00792200928264819,-0.007913668143074155,-8.571083754468116e-12,5.526832154105201,-0.02549703005637372,5.501335124040257,5.501420789151885,-0.007911349665816279,-7.324059632064504e-14,0.0,-0.00031659834022157397,-0.00031659834029481454,-0.0003158673515309514,-8.644324350788761e-12,5.501104921800354,5.501018525699963
sym_on,170.0,-0.005537777644828434,0.005517109826948596,-1.2883151343506577e-11,5.515061336836151,-0.02549703005637372,5.489564306766894,5.489688154383425,0.005519818119651436,-1.0354460925973363e-13,0.0,-0.00031659834022157397,-0.0003165983403251186,-0.0003155104974960599,-1.2986695952766311e-11,5.489372643885929,5.489247708426569
