kp,ki,success,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,error,score
0.04,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03066080551291872,481.0,-0.005683866214849509,0.007606485273244123,0.00988542899172978,,0.015391132876533768
0.05,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03110490484591999,481.0,-0.0056494261533535095,0.007627168096219032,0.009900898139280438,,0.015402330242536006
0.06,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03154912307456126,481.0,-0.005616368503862379,0.00765273805757892,0.009921385846436119,,0.01542161523272817
0.08,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.032439886836006515,481.0,-0.00555582230784557,0.00771608888681216,0.0099785744580716,,0.015483287269770746
0.04,0.05,1,900,899.0,-0.06329666715968463,2.0,0.030893316687752304,481.0,-0.005761969194226779,0.007664242317477466,0.009982961093598893,,0.015536707461390301
