kp,ki,old_samples,old_min_hz,old_max_hz,old_final_hz,old_abs_mean_hz,old_rms_hz,success,new_samples,new_min_hz,new_max_hz,new_final_hz,new_abs_mean_hz,new_rms_hz,error,delta_min_hz,delta_max_hz,delta_final_hz,delta_abs_mean_hz,delta_rms_hz
0.05,0.0625,900,-0.0632966671596846,0.0311049048459199,-0.0056494261533535,0.0076271680962189,0.0099008981392803,1,900.0,-0.02503152493462,0.0311189307807735,-0.0056508628924745,0.007366559126912823,0.009201910338680999,,0.0382651422250646,1.4025934853601624e-05,-1.4367391210001398e-06,-0.0002606089693060771,-0.000698987800599302
0.1,0.025,900,-0.0632966671596846,0.0355414101415085,-0.0042683266923781,0.0085700263141836,0.0111012547328429,1,900.0,-0.025717119243751,0.0355562079112781,-0.0042715417660588,0.008028952129821845,0.010056735009636266,,0.0375795479159336,1.4797769769599178e-05,-3.215073680699551e-06,-0.0005410741843617558,-0.0010445197232066342
0.2,0.05,900,-0.0632966671596846,0.0380194114717591,-0.0054420789474618,0.008535627396483,0.0109832690836495,1,900.0,-0.0279875128250361,0.0380393602741158,-0.0054429147621326,0.008214713693422982,0.010233329616969714,,0.0353091543346485,1.9948802356700712e-05,-8.358146707998157e-07,-0.00032091370306001725,-0.0007499394666797849
0.3,0.075,900,-0.0632966671596846,0.0447842667391329,-0.0025835779848826,0.0116432699882278,0.0147035574339831,1,900.0,-0.0359060166152147,0.0448302914090481,-0.0025705909415618,0.011024352975804917,0.013601818744463914,,0.027390650544469902,4.602466991520532e-05,1.2987043320799967e-05,-0.0006189170124228822,-0.0011017386895191862
0.4,0.1,900,-820.5011564751236,0.2757445852903206,-820.5011564751236,364.33977583823145,445.98172999727774,0,,,,,,,timeout>90s,,,,,
