label,min_hz,max_hz,mean_abs_hz,gt_pos_0.036,lt_neg_0.036,abs_gt_0.036
default 0.05/0.0625,-0.02503152493462,0.0311189307807735,0.007366559126912823,0,0,0
light 0.02/0.025,-0.0260593597202429,0.0339605822154398,0.007846523266471487,0,0,0
light 0.01/0.0125,-0.0256153577687179,0.0416250444492938,0.009734591767869531,2,0,2
light 0.005/0.00625,-0.0239041730232236,0.0499374918788086,0.013853897846621518,18,0,18
off 0/0,-0.0209396719314303,0.101412556358591,0.033104128937753545,372,0,372
