agc_interval_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz
1,-0.0479094224718434,1.0,0.0300348023784957,480.0,-0.0098010972256479,0.007418519555733682
5,-0.0632966671596846,2.0,0.0431009381281777,481.0,-0.0030554957213779,0.008377730029392825
10,-0.0632966671596846,2.0,0.0270115637495216,244.0,-0.007981071326637,0.008086702548180369
15,-0.0632966671596846,2.0,0.0460163139747127,16.0,-0.006140089336617,0.008680603642429991
