label,kp,ki,samples,min_hz,max_hz,final_hz,abs_mean_hz,rms_hz
h13d2_fixcheck_kp005_ki00625_agc4,0.05,0.0625,900,-0.0632966671596846,0.0311049048459199,-0.0056494261533535,0.007627168096218983,0.009900898139280398
h13d2_fixcheck_kp01_ki0025_agc4,0.1,0.025,900,-0.0632966671596846,0.0355414101415085,-0.0042683266923781,0.008570026314183668,0.011101254732842963
h13d2_fixcheck_kp02_ki005_agc4,0.2,0.05,900,-0.0632966671596846,0.0380194114717591,-0.0054420789474618,0.008535627396483003,0.010983269083649574
h13d2_fixcheck_kp03_ki0075_agc4,0.3,0.075,900,-0.0632966671596846,0.0447842667391329,-0.0025835779848826,0.011643269988227891,0.014703557433983171
h13d2_fixcheck_kp04_ki01_agc4,0.4,0.1,900,-820.5011564751236,0.2757445852903206,-820.5011564751236,364.33977583823145,445.98172999727774
