case,kp,ki,agc_interval_s,min_hz,max_hz,abs_mean_hz,final_hz,samples
current_default,0.05,0.0625,4,-0.0244144520680156,0.0798847172122485,0.007715919146211964,0.0019161704776227,900
old_default,0.2,0.05,4,-0.0284626281664057,0.0798847172122485,0.008487987565363335,0.0028945041804462,900
