case,kp,ki,agc_interval_s,min_hz,max_hz,abs_mean_hz,final_hz
current_default,0.05,0.0625,4,-0.0634669231894724,0.0322186973152405,0.007092991202750734,-0.0056493072610841
old_default,0.2,0.05,4,-0.0634669231894724,0.0390540187128518,0.007986509847856982,-0.0054418786803855
