Time,Load,PV,Wind
0,0.7296555097896167,0.0,0.7276609381745766
1,0.7290197058943094,0.0,0.7262965125494136
2,0.7298048332924565,0.0,0.7258810419371927
3,0.730679349169639,0.0,0.726809242558736
4,0.7289213404973827,0.0014055114453469,0.7269920356509639
5,0.728920531474032,0.0006309312049325,0.7251592651852118
6,0.7307330558053637,0.0,0.72585176225659
7,0.7299204522778843,0.0001198766521534,0.7261309701463191
8,0.7286827177216717,0.0,0.7243407301104092
9,0.7296939267100677,0.0,0.7268123228356286
10,0.7286871235325444,0.0,0.7275062125921156
11,0.7286839860306618,0.0009459115337277,0.7250491442716366
12,0.7293908526146732,0.0010823894652918,0.7256246514503177
13,0.7272347846573245,0.0,0.7255576238150865
14,0.7274223216283444,0.0011882818013072,0.727378590134949
15,0.7285841264904916,0.0021719207965669,0.7261043211337026
16,0.7281327574582732,0.0,0.7256364606924951
17,0.7294590104700781,0.0,0.726978604776714
18,0.7282359136208367,0.0,0.7272763243615734
19,0.7277308085538978,0.0012379281420539,0.7261417593193202
20,0.7306079355830298,0.0013852176477814,0.7269737253654304
21,0.7289156850724968,3.4036341269285974e-05,0.7258380700519558
22,0.7292081641365464,0.0,0.7238849104527035
23,0.7277150623045203,0.0003121947174319,0.7267160897161055
24,0.7285946023250837,0.0,0.7255000781773056
25,0.7292490821981938,0.0001883591139625,0.7241561677274224
26,0.7279863405899368,0.0,0.7240231916991915
27,0.72951220674458,0.0002609302478,0.7249769505202613
28,0.7285350445951906,0.0,0.7251431748130676
29,0.7288431640941913,0.0004280750550452,0.7257534707307743
30,0.7285323257906303,0.0012055962805879,0.7255298570768053
31,0.7309854851462437,0.0,0.7263323000762346
32,0.729118884295872,0.0001949258106921,0.7263774864346818
33,0.7280738451505292,0.0,0.7266260664101999
34,0.7299532755504634,0.0005895029966946,0.7252493998686065
35,0.7279090615472644,0.0009961839408781,0.7240905772867264
36,0.7293379433511152,0.0017100599294792,0.724500114329408
37,0.7271685841911059,0.0,0.7235507805224303
38,0.7277992428249624,0.0005976898673318,0.7235187462064335
39,0.7293234646686051,0.0,0.724926285267331
40,0.7298642445716065,0.0004603236965177,0.7239869688573523
41,0.7292963208316763,0.0,0.7264161736982896
42,0.7290084788269732,0.0005697001447612,0.7262005552870704
43,0.7288221979726471,0.0005001196134759,0.725315309055086
44,0.7276439542367442,0.000152181189911,0.7242945821885197
45,0.7284018065775921,0.0,0.7241904198748423
46,0.7286601865739021,0.000231076323529,0.7266989108375789
47,0.730177122129956,0.0010077043997208,0.7253765348628411
48,0.7294627927521806,0.0003366339046364,0.7256038945152969
49,0.7273553088661245,0.0008596612533637,0.7265288461151533
50,0.7294416075497572,0.0,0.725114918150761
51,0.7287316158588213,0.0001333453618308,0.725187930992252
52,0.7284389506978067,0.0,0.7263175946975989
53,0.7297267235458287,0.0008466104913579,0.7220495101088799
54,0.730145221338359,0.0006000877497817,0.7235300310646102
55,0.7300446764938544,0.0,0.7273605777827311
56,0.7282733534103906,0.0002227445677877,0.7239943403728467
57,0.7288025331166372,0.0,0.7249987806698763
58,0.7294421834827671,0.0004613289565168,0.7236366159011571
59,0.7300856397373611,0.0004176364389917,0.7242586345871457
60,0.7286300949312686,0.0001374854839123,0.7242294358538639
61,0.7289194202067445,0.0,0.7252793106730346
62,0.7279944103772253,0.0015539778789098,0.7248199452442802
63,0.7279002048949739,0.0011246338621294,0.7243027018547858
64,0.7299046035092719,0.0001585439484518,0.7244979867111853
