label,kp,ki,min_hz,max_hz,mean_abs_hz,gt_pos_0.036,lt_neg_0.036,abs_gt_0.036
KI=0.00625,0.005,0.00625,-0.0239041730232236,0.0499374918788086,0.013853897846621518,18,0,18
KI=0.00500,0.005,0.005,-0.0232023339506648,0.0524231219675108,0.015543960075385605,38,0,38
KI=0.00375,0.005,0.00375,-0.0224953757933965,0.0554366558550478,0.017824979045582584,95,0,95
KI=0.00250,0.005,0.0025,-0.0215078090338138,0.0622802077075634,0.02101507054967429,214,0,214
KI=0.00125,0.005,0.00125,-0.0209474026984235,0.0769495152492583,0.025680111220874737,333,0,333
KI=0.00000,0.0,0.0,-0.0209396719314303,0.101412556358591,0.033104128937753545,372,0,372
