time_s,freq_dev_hz,variant,variant_label
0.0,0.0,carryover,"carry-over (bf=first, no target)"
1.0,-0.009468954091218507,carryover,"carry-over (bf=first, no target)"
2.0,-0.009936940701036345,carryover,"carry-over (bf=first, no target)"
3.0,0.004105704993104808,carryover,"carry-over (bf=first, no target)"
4.0,0.0036796737991151574,carryover,"carry-over (bf=first, no target)"
5.0,0.0008420291528965507,carryover,"carry-over (bf=first, no target)"
6.0,-0.002247652747415785,carryover,"carry-over (bf=first, no target)"
7.0,0.006420937739424204,carryover,"carry-over (bf=first, no target)"
8.0,-0.00867158005393387,carryover,"carry-over (bf=first, no target)"
9.0,-0.021928721659647543,carryover,"carry-over (bf=first, no target)"
10.0,-0.014252756932982003,carryover,"carry-over (bf=first, no target)"
11.0,0.011223454959821133,carryover,"carry-over (bf=first, no target)"
12.0,0.0010460496797692898,carryover,"carry-over (bf=first, no target)"
13.0,-0.0020931232631271612,carryover,"carry-over (bf=first, no target)"
14.0,-0.006179473682574876,carryover,"carry-over (bf=first, no target)"
15.0,-0.002856400181163732,carryover,"carry-over (bf=first, no target)"
16.0,-0.015571160085132707,carryover,"carry-over (bf=first, no target)"
17.0,-0.008097415141425923,carryover,"carry-over (bf=first, no target)"
18.0,0.00548048836310322,carryover,"carry-over (bf=first, no target)"
19.0,0.005764045064995393,carryover,"carry-over (bf=first, no target)"
20.0,-0.008759036741938786,carryover,"carry-over (bf=first, no target)"
21.0,-0.010949222030769423,carryover,"carry-over (bf=first, no target)"
22.0,0.0028575474166769865,carryover,"carry-over (bf=first, no target)"
23.0,0.00871258869139968,carryover,"carry-over (bf=first, no target)"
24.0,0.001429070300322799,carryover,"carry-over (bf=first, no target)"
25.0,-0.001784356860141667,carryover,"carry-over (bf=first, no target)"
26.0,0.001879713821901774,carryover,"carry-over (bf=first, no target)"
27.0,-0.0019538168196797656,carryover,"carry-over (bf=first, no target)"
28.0,-0.007875136827937279,carryover,"carry-over (bf=first, no target)"
29.0,-0.004169696376037368,carryover,"carry-over (bf=first, no target)"
30.0,-0.0019110920641596252,carryover,"carry-over (bf=first, no target)"
31.0,-0.008305451284571497,carryover,"carry-over (bf=first, no target)"
32.0,-0.009243385033486096,carryover,"carry-over (bf=first, no target)"
33.0,-0.007745268521808235,carryover,"carry-over (bf=first, no target)"
