time_s,freq_dev_hz,variant,variant_label
0.0,0.0,bf_only,AGC redistribution only (bf=second)
1.0,-0.009468954091218507,bf_only,AGC redistribution only (bf=second)
2.0,-0.009936940701036345,bf_only,AGC redistribution only (bf=second)
3.0,0.004105704993104808,bf_only,AGC redistribution only (bf=second)
4.0,0.0036796737991151574,bf_only,AGC redistribution only (bf=second)
5.0,0.0008420291528965507,bf_only,AGC redistribution only (bf=second)
6.0,-0.002247652747415785,bf_only,AGC redistribution only (bf=second)
7.0,0.006420937739424204,bf_only,AGC redistribution only (bf=second)
8.0,-0.00867158005393387,bf_only,AGC redistribution only (bf=second)
9.0,-0.021928721659647543,bf_only,AGC redistribution only (bf=second)
10.0,-0.014252756932982003,bf_only,AGC redistribution only (bf=second)
11.0,0.011223454959821133,bf_only,AGC redistribution only (bf=second)
12.0,0.0010460496797692898,bf_only,AGC redistribution only (bf=second)
13.0,-0.0020931232631271612,bf_only,AGC redistribution only (bf=second)
14.0,-0.006179473682574876,bf_only,AGC redistribution only (bf=second)
15.0,-0.002856400181163732,bf_only,AGC redistribution only (bf=second)
16.0,-0.015571160085132707,bf_only,AGC redistribution only (bf=second)
17.0,-0.008097415141425923,bf_only,AGC redistribution only (bf=second)
18.0,0.00548048836310322,bf_only,AGC redistribution only (bf=second)
19.0,0.005764045064995393,bf_only,AGC redistribution only (bf=second)
20.0,-0.008759036741938786,bf_only,AGC redistribution only (bf=second)
21.0,-0.010949222030769423,bf_only,AGC redistribution only (bf=second)
22.0,0.0028575474166769865,bf_only,AGC redistribution only (bf=second)
23.0,0.00871258869139968,bf_only,AGC redistribution only (bf=second)
24.0,0.001429070300322799,bf_only,AGC redistribution only (bf=second)
25.0,-0.001784356860141667,bf_only,AGC redistribution only (bf=second)
26.0,0.001879713821901774,bf_only,AGC redistribution only (bf=second)
27.0,-0.0019538168196797656,bf_only,AGC redistribution only (bf=second)
28.0,-0.007875136827937279,bf_only,AGC redistribution only (bf=second)
29.0,-0.004169696376037368,bf_only,AGC redistribution only (bf=second)
30.0,-0.0019110920641596252,bf_only,AGC redistribution only (bf=second)
31.0,-0.008305451284571497,bf_only,AGC redistribution only (bf=second)
32.0,-0.009243385033486096,bf_only,AGC redistribution only (bf=second)
33.0,-0.007745268521808235,bf_only,AGC redistribution only (bf=second)
34.0,-0.007368083510177481,bf_only,AGC redistribution only (bf=second)
35.0,-0.006489826877185134,bf_only,AGC redistribution only (bf=second)
36.0,-0.011662885697238945,bf_only,AGC redistribution only (bf=second)
37.0,-0.013986805320582718,bf_only,AGC redistribution only (bf=second)
