variant,boundary_jump_hz,boundary_step_0_to_1_hz,second_min_hz,second_max_hz,second_abs_mean_hz,second_rms_hz
no target,0.0,0.005334970803674302,-0.0138686266249865,0.0664596857117016,0.026772165811595403,0.030987507040128225
hard step,0.0,-0.5913625599393856,-4.744452025394105,1.0129015980317346,0.7563255007795873,0.9140465293982001
midpoint trajectory,0.0,0.005598490885576599,-0.0238585895505938,0.0437026252604821,0.011427378729223588,0.01406025984603699
