Time,Load,PV,Wind
0,0.802621060769,0.0,0.836810078901
1,0.801921676484,0.0,0.835240989432
2,0.802785316622,0.0,0.834763198228
3,0.803747284087,0.0,0.835830628943
4,0.801813474547,0.001616338162,0.836040840999
5,0.801812584621,0.000725570886,0.833933154963
6,0.803806361386,0.0,0.834729526595
7,0.802912497506,0.00013785815,0.835050615668
8,0.801550989494,0.0,0.832991839627
9,0.802663319381,0.0,0.835834171261
10,0.801555835886,0.0,0.836632144481
11,0.801552384634,0.001087798264,0.833806515912
12,0.802329937876,0.001244747885,0.834468349168
13,0.799958263123,0.0,0.834391267387
14,0.800164553791,0.001366524072,0.836485378655
15,0.80144253914,0.002497708916,0.835019969304
16,0.800946033204,0.0,0.834481929796
17,0.802404911517,0.0,0.836025395493
18,0.801059504983,0.0,0.836367773016
19,0.800503889409,0.001423617363,0.835063023217
20,0.803668729141,0.001593000295,0.83601978417
21,0.80180725358,3.9141792e-05,0.83471378056
22,0.80212898055,0.0,0.832467647021
23,0.800486568535,0.000359023925,0.835723503174
24,0.801454062558,0.0,0.834325089904
25,0.802173990418,0.000216612981,0.832779592887
26,0.800784974649,0.0,0.832626670454
27,0.802463427419,0.000300069785,0.833723493098
28,0.801388549055,0.0,0.833914651035
29,0.801727480504,0.000492286313,0.83461649134
30,0.80138555837,0.001386435723,0.834359335638
31,0.804084033661,0.0,0.835282145088
32,0.802030772725,0.000224164682,0.8353341094
33,0.800881229666,0.0,0.835619976372
34,0.802948603106,0.000677928446,0.834036809849
35,0.800699967702,0.001145611532,0.83270416388
36,0.802271737686,0.001966568919,0.833175131479
37,0.79988544261,0.0,0.832083397601
38,0.800579167107,0.000687343347,0.832046558137
39,0.802255811135,0.0,0.833665228057
40,0.802850669029,0.000529372251,0.832585014186
41,0.802225952915,0.0,0.835378599753
42,0.80190932671,0.000655155166,0.83513063858
43,0.80170441777,0.000575137555,0.834112605413
44,0.80040834966,0.000175008368,0.832938769517
45,0.801241987235,0.0,0.832818982856
46,0.801526205231,0.000265737772,0.835703747463
47,0.803194834343,0.00115886006,0.834183015092
